Category,Secondary Category,Tertiary Categories,Rarity,Attunement,Item,Cost (GP)
NA,Wondrous,Wondrous,Common,NA,Holy Water (Flask),25
NA,Manual,Manual,Common,NA,Spellbook (Empty),50
NA,Wondrous,Wondrous,Common,NA,Totem,1
NA,Wand,Wand,Common,NA,Wand,10
NA,Staff,Staff,Common,NA,Wooden Staff,5
NA,Wand,Wand,Common,NA,Yew Wand,10
Armor,Any Medium or Heavy,Hide Armor;Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Common,NA,Armor of Gleaming,200
Wondrous,Wondrous,Wondrous,Common,NA,Bead of Nourishment,50
Wondrous,Wondrous,Wondrous,Common,NA,Bead of Refreshment,50
Boots,Boots,Boots,Common,NA,Boots of False Tracks,75
Wondrous,Wondrous,Wondrous,Common,NA,Breathing Bubble,50
Wondrous,Wondrous,Wondrous,Common,NA,Candle of the Deep,50
Wondrous,Wondrous,Wondrous,Common,NA,Cartographer's Map Case,50
Armor,"Light, Medium, or Heavy",Padded Armor;Leather Armor;Studded Leather Armor;Hide Armor;Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Common,NA,Cast-Off Armor,200
Wondrous,Wondrous,Wondrous,Common,Required,Charlatan's Die,63
Wondrous,Magic Stone,Magic Stone,Common,NA,Cleansing Stone,50
Clothing,Cloak,Cloak,Common,NA,Cloak of Billowing,100
Clothing,Cloak,Cloak,Common,NA,Cloak of Many Fashions,100
Amulet,Amulet,Amulet,Common,NA,Clockwork Amulet,150
Clothing,Clothing,Clothing,Common,NA,Clothes of Mending,100
Wondrous,Coin,Coin,Common,NA,Coin of Decisionry,50
Wondrous,Coin,Coin,Common,NA,Coin of Delving,50
Amulet,Amulet,Amulet,Common,Required,Dark Shard Amulet,188
Helmet,Helmet,Helmet,Common,NA,Dread Helm,100
Wondrous,Wondrous,Wondrous,Common,NA,Ear Horn of Hearing,50
Manual,Manual,Manual,Common,NA,Enduring Spellbook,500
Wondrous,Wondrous,Wondrous,Common,Required,Ersatz Eye,63
Wondrous,Wondrous,Wondrous,Common,NA,Everbright Lantern,50
Wondrous,Wondrous,Wondrous,Common,NA,Feather Token (Feather Fall),50
Wondrous,Wondrous,Wondrous,Common,Required,Fernian Ash Focus,63
Clothing,Hat,Hat,Common,NA,Hat of Vermin,100
Clothing,Hat,Hat,Common,Required,Hat of Wizardry,125
Wondrous,Bag,Bag,Common,NA,Heward's Handy Spice Pouch,50
Wondrous,Horn,Horn,Common,NA,Horn of Silent Alarm,50
Wondrous,Wondrous,Wondrous,Common,Required,Imbued Wood Focus,63
Wondrous,Instrument,Instrument,Common,Required,Instrument of Illusions,63
Wondrous,Instrument,Instrument,Common,Required,Instrument of Scribing,63
Wondrous,Wondrous,Wondrous,Common,Required,Keycharm,63
Wondrous,Wondrous,Wondrous,Common,Required,Kythrian Manchineel Focus,63
Wondrous,Wondrous,Wondrous,Common,Required,Lamannian Oak Focus,63
Wondrous,Wondrous,Wondrous,Common,NA,Lock of Trickery,50
Wondrous,Wondrous,Wondrous,Common,Required,Mabaran Ebony Focus,63
Wondrous,Wondrous,Wondrous,Common,NA,Moodmark Paint,50
Weapon,Any Sword,Greatsword;Longsword;Rapier;Scimitar;Shortsword,Common,NA,Moon-Touched Sword,100
Wondrous,Wondrous,Wondrous,Common,NA,Mystery Key,50
Wondrous,Orb,Orb,Common,NA,Orb of Direction,50
Wondrous,Orb,Orb,Common,Required,Orb of Shielding,63
Wondrous,Orb,Orb,Common,NA,Orb of Time,50
Wondrous,Wondrous,Wondrous,Common,NA,Perfume of Bewitching,50
Wondrous,Wondrous,Wondrous,Common,NA,Pipe of Smoke Monsters,50
Wondrous,Wondrous,Wondrous,Common,NA,Pole of Angling,50
Wondrous,Wondrous,Wondrous,Common,NA,Pole of Collapsing,50
Wondrous,Wondrous,Wondrous,Common,NA,Pot of Awakening,50
Wondrous,Wondrous,Wondrous,Common,NA,Pressure Capsule,50
Wondrous,Wondrous,Wondrous,Common,NA,Prosthetic Limb,50
Weapon,Scimitar,Scimitar,Common,NA,Revenant Double-Bladed Scimitar,100
Wondrous,Wondrous,Wondrous,Common,Required,Risian Pine Focus,63
Wondrous,Wondrous,Wondrous,Common,NA,Rope of Mending,50
Wondrous,Wondrous,Wondrous,Common,NA,Scribe's Pen,50
Wondrous,Wondrous,Wondrous,Common,NA,Sekolahian Worshipping Statuette,50
Wondrous,Wondrous,Wondrous,Common,Required,Shavarran Birch Focus,63
Armor,Shield,Shield,Common,NA,Shield of Expression,200
Clothing,Clothing,Clothing,Common,NA,Shiftweave,100
Armor,Any Armor,Padded Armor;Leather Armor;Studded Leather Armor;Hide Armor;Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor;Spiked Armor;Pride Silk Outfit,Common,NA,Smoldering Armor,200
Wondrous,Magic Stone,Magic Stone,Common,NA,Spellshard,50
Staff,Staff,Staff,Common,NA,Staff of Adornment,150
Staff,Staff,Staff,Common,NA,Staff of Birdcalls,150
Staff,Staff,Staff,Common,NA,Staff of Flowers,150
Wondrous,Wondrous,Wondrous,Common,Required,Talking Doll,63
Wondrous,Wondrous,Wondrous,Common,NA,Tankard of Plenty,50
Wondrous,Wondrous,Wondrous,Common,NA,Tankard of Sobriety,50
Weapon,Arrow,Arrow,Common,NA,Unbreakable Arrow,100
Wondrous,Wondrous,Wondrous,Common,NA,Veteran's Cane,50
Weapon,Ammunition,Arrows;Blowgun Needles;Crossbow Bolts;Sling Bullets;Arrow,Common,NA,Walloping Ammunition,100
Wand,Wand,Wand,Common,NA,Wand of Conduting,100
Wand,Wand,Wand,Common,NA,Wand of Pyrotechnics,100
Wand,Wand,Wand,Common,NA,Wand of Scowls,100
Wand,Wand,Wand,Common,NA,Wand of Smiles,100
Wand,Wand,Wand,Common,Required,Wand Sheath,125
Wondrous,Wondrous,Wondrous,Common,NA,Spyglass of Clairvoyance,50
Potion,Healing Potion,Healing Potion,Common,NA,Potion of Healing,50
Wondrous,Wondrous,Wondrous,Uncommon,NA,Alchemy Jug,300
Armor,"Medium or Heavy, but Not Hide",Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Uncommon,NA,Adamantine Armor,700
Weapon,Ammunition,Arrows;Blowgun Needles;Crossbow Bolts;Sling Bullets;Arrow,Uncommon,NA,"Ammunition, +1",500
Amulet,Amulet,Amulet,Uncommon,Required,Amulet of Proof against Detection and Location,750
Amulet,Amulet,Amulet,Uncommon,NA,Amulet of the Drunkard,500
Armor,"Light, Medium, or Heavy",Padded Armor;Leather Armor;Studded Leather Armor;Hide Armor;Chain Shirt Armor;Scale Mail Armor;Breastplate Armor;Half Plate Armor;Ring Mail Armor;Chain Mail Armor;Splint Armor;Plate Armor,Uncommon,NA,"Armor, +1",700
Wondrous,Bag,Bag,Uncommon,NA,Bag of Bounty,300
Wondrous,Bag,Bag,Uncommon,NA,Bag of Holding,300
Wondrous,Bag,Bag,Uncommon,NA,Bag of Tricks,300
Weapon,Boomerang,Boomerang,Uncommon,NA,"Boomerang, +1",500
Boots,Boots,Boots,Uncommon,NA,Boots of Elvenkind,250
Boots,Boots,Boots,Uncommon,Required,Boots of Striding and Springing,375
Boots,Boots,Boots,Uncommon,Required,Boots of the Winterlands,375
Gauntlets,Gauntlets,Gauntlets,Uncommon,Required,Bracers of Archery,413
Wondrous,Wondrous,Wondrous,Uncommon,Required,Brooch of Living Essence,450
Wondrous,Wondrous,Wondrous,Uncommon,Required,Brooch of Shielding,450
Wondrous,Wondrous,Wondrous,Uncommon,NA,Broom of Flying,300
Clothing,Hat,Hat,Uncommon,NA,Cap of Water Breathing,300
Wondrous,Hat,Hat,Uncommon,NA,Circlet of Blasting,300
Clothing,Cloak,Cloak,Uncommon,Required,Cloak of Elvenkind,450
Clothing,Cloak,Cloak,Uncommon,Required,Cloak of Protection,450
Clothing,Cloak,Cloak,Uncommon,NA,Cloak of the Manta Ray,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Decanter of Endless Water,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Deck of Illusions,300
Wondrous,Bag,Bag,Uncommon,NA,Documancy Satchel,300
Wondrous,Instrument,Instrument,Uncommon,Required,Doss Lute,450
Wondrous,Wondrous,Wondrous,Uncommon,NA,Driftglobe,300
Wondrous,Dust,Dust,Uncommon,NA,Dust of Deliciousness,300
Wondrous,Dust,Dust,Uncommon,NA,Dust of Disappearance,300
Wondrous,Dust,Dust,Uncommon,NA,Dust of Dryness,300
Wondrous,Dust,Dust,Uncommon,NA,Dust of Sneezing and Choking,300
Wondrous,Wondrous,Wondrous,Uncommon,Required,Earworm,450
Wondrous,Quiver,Quiver,Uncommon,NA,Efficient Quiver,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Elder's Cartographer's Glossgraphy,300
Wondrous,Magic Stone,Magic Stone,Uncommon,NA,Elemental Gem,300
Wondrous,Wondrous,Wondrous,Uncommon,NA,Eversmoking Bottle,300
Goggles,Goggles,Goggles,Uncommon,Required,Eyes of Charming,300
Goggles,Goggles,Goggles,Uncommon,NA,Eyes of Minute Seeing,200
Goggles,Goggles,Goggles,Uncommon,Required,Eyes of the Eagle,300
Wondrous,Wondrous,Wondrous,Uncommon,Required,Fochluncan Bandore,450
Gauntlets,Gauntlets,Gauntlets,Uncommon,Required,Gauntlets of Ogre Power,413
Wondrous,Magic Stone,Magic Stone,Uncommon,NA,Gem of Brightness,300
Clothing,Clothing,Clothing,Uncommon,NA,Glamerweave,300
Gloves,Gloves,Gloves,Uncommon,Required,Gloves of Missile Snaring,300
Gloves,Gloves,Gloves,Uncommon,Required,Gloves of Swimming and Climbing,300
Gloves,Gloves,Gloves,Uncommon,NA,Gloves of Thievery,200
Goggles,Goggles,Goggles,Uncommon,NA,Goggles of Night,200
Goggles,Goggles,Goggles,Uncommon,Required,Goggles of Object Reading,300
Clothing,Hat,Hat,Uncommon,Required,Hat of Disguise,450
Clothing,Hat,Hat,Uncommon,Required,Headband of Intellect,450
