Drink Name,Drink Color,Flavor Text,Drink Effect,Container,Price (GP)
Angel Tea,A Healthy Amber with Leaves of Mint Stirred in,"A pleasant herbal tea constructed from various plants and resources. Mint, lavender, honey, chamomile, sugar - plus other ingredients that make your whole body feel silky and smooth. Both a refreshment and a welcome sleep remedy.","Your feel your eyelids grow heavy and your body beckons you to sleep. Once you go to take a Long Rest, you awaken in half the time it normally takes. Once awakened, you gain all benefits of a long rest.",Mug,0.7
Angry Tom's Furious Ale,"A Dark Amber/Brown Butter with a Thick, Creamy Beige Coloured Head.","A traditionally brewed, thick, dark ale in which black peppercorns are added to the mash and brewed. It is rich, peppery, and not at all infuriating.",You feel a little hungry but enjoy the drink throughly.,Pint,0.03
Banana Milkshake,A Slightly Yellow Frothing Milk Drink with Chunks of Banana Scattered Throughout.,It's thick. It's creamy and oh so bananay. Add chunks of ice to make it a refreshing drink throughout the hot summer months. Child-friendly.,You feel refreshened and cooled down. You gain back a 1st level spell slot.,Glass,0.03
Bard's Blessing,"A Soft Palette of Subtle Reds, Pinks, & Yellows.","The flavours of different fruits hit your tongue but you're unable to describe which it is before it changes to the next. As you drink, you'll feel it pooling around your voice box, stroking at it, almost as if it is tempting you to sing.",You suddenly feel like you could sing to the world! You gain a +5 to Sing (Performance) Checks at the cost of taking on the Stunned Condition singing very quietly to yourself for the duration of the performance.,Pint,2
Bilgewater,Blueish Brown or Jet Black,"Made by soaking the inner organs of various sea creatures in a fermented brine, the concoction is the run through a sieve to remove the bones and viscera.","The lingering taste of rotten, brackish seafood remains on your palette for the next few hours.",Pint (Free for by a Tall Tale),0.05
Blerry,"Ranging from Clear Lavender to Deep Red, depending on the Berries","Of halfling origin, this is a fermented juice of berries, honey and spices. There are regional and seasonal variations, each with family variations. Lightly alcoholic, Berry is usually drunk to refresh rather than to intoxicate. Some varieties are dry, but most versions are at least slightly sweet, and almost all ideally have a light carbonation. A few variations made for sale to humans are sweeter and heavier, and are used as a kind of dessert wine, but most native drinkers turn up their nose at these.","The consumer is refreshed, energized and, usually, somewhat cheered. It intoxicates like a standard lager, and takes at least a pint to get the average halfling buzzed, a good few pints for a typical human, and a dwarf or half-orc would need more. The varieties made for humans are stronger like a light wine.",Pint,0.1
Blind Beholder,Dark Red with Large White Bubbles,"A drink made from material found only in the Underdark. Tastes somewhat musty, but has an incredible kick; doesn't take much to make the world start spinning.","While you're intoxicated from this drink, any spell casted by you has a 50% chance of backfiring, and you have Disadvantage on any Perception checks.",Pint,0.5
Bloody Medusa,Thick & Red as Blood but with Greenish Swirls. Served with a Green Snake's Head on the Rim.,"Some think that the drink originally started out using crushed up vegetables and fermented alcohol. Some recipes still do use the original recipe, but have decided to actually add in the blood of a Medusa. Not only does it taste great for a morning pick me up, but it also grants the drinkers who partake with a special surprise. Be wary not to go picking a fight in a bar where this is served...",Drinking this concoction takes an action. The affected creature gains the effect of Stoneskin for 1 hour,Pint,10
Bluenose,Glowing Blue with a Light Mist,"This ethereal drink glows softly and emits a light mist. Light, clear and almost flavorless the drink itself is merely a means to delight in the wonderful vapors from the mist.",Eliminates overpowering smells from being distracting. The pleasant smells puts a smile on even the most sour face. You gain advantage on Charisma based checks.,Pint,0.5
Brewmosa,Golden Orange,Two freshly squeezed oranges from a local orchard mixed with a pint of mead.,You feel your muscles and old wounds being to repair themselves. Gain {{Rand1-4}} HP.,Pint,0.04
Brimstone Brew,Glowing Swirl of Orange & Red,"This odd liquid is a constantly swirling mass of orange and red, and has a faint glow to it. The brew carries a slight odor of sulphur, and is warm on the tongue.","Drinking this concotion takes an action. After drinking the brew, make a CON saving throw DC 8 or you begin to hear an unintelligible whispering plague your ears. However, Warlocks or other characters in the service of infernal masters gain a +2 bonus to damage rolls and spell DCs. Both effects last {{Rand1-4}} hour(s).",Pint,3
Butteredbeer,A Buttery Brown Drink with a Creamy Foaming Top,"Foaming, smooth to taste with enough kick to keep itself interesting. A popular purchase among novice drinkers.",You feel a little more alert and sociable. You gain a +1 to Charisma based and Perception checks for the next hour,Pint,0.2
Citrus Tea,A Transparent Orange whose Bubbles Sit on the Bottom of the Glass,"An orange slice decorates the side of the glass in which it is served. Tastes of a mixture of orange, lemon, and ginger with a vague hint of spice. Travelers and nobles alike ingest this drink when they have upset stomachs as it is known to aid in both indigestion as well as constipation. Is also rather good for helping cure the common cold. Can be consumed either warm or cold.",Drinking this concoction takes an action. The tea cures any minor sicknesses upon consumption as well as aids in any digestive problems the drinker might be experiencing. Also gives you Poison Resistance for up to 1 hour.,Glass,0.05
Clockwhistle's Surprise,"Dark Purple, Glittery","A nice tasting potion that became a widely served drink purely for the fun of it. Invented by Dondaan Clockwhistle, this drink is said to cause strange effects, most of the time anyways.","DC 15 CON save. Roll on Wild Magic table upon fail, rerolling for effects that directly harm someone. DM can also decide what happens. Effect can not be affected by features granted to Wild Magic Sorcerers.",Mug,0.5
Crazy Al's Gnomish Knock-Out Lager,A Transparent Constantly Bubbling Greenish Liquid.,"An infamous Gnomish brew known for requiring a waiver to be signed, absolving the tavern and brewer of any damage and/or loss of life before it can be served. It comes in a black bottle, with multiple warning signs written in Common, Gnomish, and Dwarvish. Tastes absolutely foul.","Make a CON saving throw DC 15. On a success, you gain +2 to your Strength and Constitution scores (maximum of 20), advantage on Constitution saving throws, and Cold resistance until your next long rest. You are immune to the drink's effects for 24 hours. On a failure, you are knocked unconscious for {{Rand1-6+Rand1-6}} hours. Upon regaining consciousness, you have disadvantage on all ability score checks, skill roles, and saves until you receive the benefits of two long rests. If you rolled a Natural 1, your health automatically drops to 0 Hit Points, and you begin rolling Death Saves.",Bottle,15
Cthulhubrew,A Slimy Green Color & Thick like Syrup.,No one knows where this concoction comes from or what exactly it is made from. Strange monks in hooded robes deliver the drink by nightfall and give it at a highly discounted rate. Some say that drinking enough of it not only does the desired effects of alcohol but also enlightens their brain chemistry to a high state. The taste of it is like Licorice or Absynth,"Once consumed, you gain the effects of Telekinesis for the next 8 hours, but you begin to hears dissonant whispers from another being calling them to join their cult. Deals {{Rand1-6}} Psychic Damage every hour until the effect wears off.","Pint (Free, Paid for by a Mysterious Patron)",0
Deepminer,Shiny Golden Liquid with Black Foam,"Taken from a keg with floating lumps of coal, initial strong charcoal taste followed by delicious warm honey golden taste","Immediately before your next Long Rest, you make a bowel movement. Roll a d100. If your roll is equal to or under the number of drinks you consumed, your feces contains a small gold nugget worth {{Rand1-10}} gold. If your roll is higher than the number of drinks you consumed, your bowel movement is a painful and coal filled.",Pint,0.1
