Category,Secondary Category,Tertiary Categories,Rarity,Attunement,Item,Cost (GP)
General Store,Wondrous,,Common,NA,Holy Water (Flask),25
General Store,Manual,,Common,NA,Spellbook (Empty),50
General Store,Wondrous,,Common,NA,Totem,1
General Store,,Wand,Common,NA,Wand,10
General Store,Staff,,Common,NA,Wooden Staff,5
General Store,Wand,,Common,NA,Yew Wand,10
Magic Items,Armor,Any Medium or Heavy,Common,NA,Armor of Gleaming,200
Magic Items,Wondrous,,Common,NA,Bead of Nourishment,50
Magic Items,Wondrous,,Common,NA,Bead of Refreshment,50
Magic Items,Boots,,Common,NA,Boots of False Tracks,75
Magic Items,Wondrous,,Common,NA,Breathing Bubble,50
Magic Items,Wondrous,,Common,NA,Candle of the Deep,50
Magic Items,Wondrous,,Common,NA,Cartographer's Map Case,50
Magic Items,Armor,"Light, Medium, or Heavy",Common,NA,Cast-Off Armor,200
Magic Items,Wondrous,,Common,Required,Charlatan's Die,63
Magic Items,Wondrous,Magic Stone,Common,NA,Cleansing Stone,50
Magic Items,Cloak,,Common,NA,Cloak of Billowing,100
Magic Items,Cloak,,Common,NA,Cloak of Many Fashions,100
Magic Items,Amulet,,Common,NA,Clockwork Amulet,150
Magic Items,Clothing,,Common,NA,Clothes of Mending,100
Magic Items,Weapon,Coin,Common,NA,Coin of Decisionry,50
Magic Items,Weapon,Coin,Common,NA,Coin of Delving,50
Magic Items,Amulet,,Common,Required,Dark Shard Amulet,188
Magic Items,Helmet,,Common,NA,Dread Helm,100
Magic Items,Wondrous,,Common,NA,Ear Horn of Hearing,50
Magic Items,Manual,,Common,NA,Enduring Spellbook,500
Magic Items,Wondrous,,Common,Required,Ersatz Eye,63
Magic Items,Wondrous,,Common,NA,Everbright Lantern,50
Magic Items,Wondrous,,Common,NA,Feather Token,50
Magic Items,Wondrous,,Common,Required,Fernian Ash Focus,63
Magic Items,Hat,,Common,NA,Hat of Vermin,100
Magic Items,Hat,,Common,Required,Hat of Wizardry,125
Magic Items,Weapon,Bag,Common,NA,Heward's Handy Spice Pouch,50
Magic Items,Weapon,Horn,Common,NA,Horn of Silent Alarm,50
Magic Items,Wondrous,,Common,Required,Imbued Wood Focus,63
Magic Items,Wondrous,Instrument,Common,Required,Instrument of Illusions,63
Magic Items,Wondrous,Instrument,Common,Required,Instrument of Scribing,63
Magic Items,Wondrous,,Common,Required,Keycharm,63
Magic Items,Wondrous,,Common,Required,Kythrian Manchineel Focus,63
Magic Items,Wondrous,,Common,Required,Lamannian Oak Focus,63
Magic Items,Wondrous,,Common,NA,Lock of Trickery,50
Magic Items,Wondrous,,Common,Required,Mabaran Ebony Focus,63
Magic Items,Wondrous,,Common,NA,Moodmark Paint,50
Magic Items,Weapon,Any Sword,Common,NA,Moon-Touched Sword,100
Magic Items,Wondrous,,Common,NA,Mystery Key,50
Magic Items,Weapon,Orb,Common,NA,Orb of Direction,50
Magic Items,Weapon,Orb,Common,Required,Orb of Shielding,63
Magic Items,Weapon,Orb,Common,NA,Orb of Time,50
Magic Items,Wondrous,,Common,NA,Perfume of Bewitching,50
Magic Items,Wondrous,,Common,NA,Pipe of Smoke Monsters,50
Magic Items,Wondrous,,Common,NA,Pole of Angling,50
Magic Items,Wondrous,,Common,NA,Pole of Collapsing,50
Magic Items,Wondrous,,Common,NA,Pot of Awakening,50
Magic Items,Wondrous,,Common,NA,Pressure Capsule,50
Magic Items,Wondrous,,Common,NA,Prosthetic Limb,50
Magic Items,Weapon,Scimitar,Common,NA,Revenant Double-Bladed Scimitar,100
Magic Items,Wondrous,,Common,Required,Risian Pine Focus,63
Magic Items,Wondrous,,Common,NA,Rope of Mending,50
Magic Items,Wondrous,,Common,NA,Scribe's Pen,50
Magic Items,Wondrous,,Common,NA,Sekolahian Worshipping Statuette,50
Magic Items,Wondrous,,Common,Required,Shavarran Birch Focus,63
Magic Items,Armor,Shield,Common,NA,Shield of Expression,200
